"Path","Width","Height","Length","LastWriteTime","Ext"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\f1cd815b9f2267013d4ef4fb30f4e6c5.jpg","1920","911","130238","2026/5/12 20:09:36",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\2ca6956790a033b3bd9f8a8b612cd06e.jpg","1920","911","143477","2026/5/12 20:09:28",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\21cfea50879e5ada3df3be9cbe387106.jpg","1920","911","155332","2026/5/12 20:09:22",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\58020fdb123e6b1b3ab82a5d6f963c2f.jpg","1920","911","155402","2026/5/12 20:09:12",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\43778b315bfdef31c065d3f62fd514f8.jpg","1920","911","162050","2026/5/12 20:08:59",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\2c74c732f01e1f52bd76ee87668291fa.jpg","1920","911","192778","2026/5/12 20:08:46",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\3554a0fbeb66435a25b9d71791c074d5.jpg","1920","911","191925","2026/5/12 20:08:35",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\466517e9dd47b5a205418325e8890e63.jpg","1920","911","201220","2026/5/12 20:08:20",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\d2c36dedce59d555d505e63b7781a687.jpg","3812","999","386956","2026/5/12 20:07:40",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\dcca521bded865dffcb12a1848ccde9d.jpg","4096","3072","3292528","2026/5/12 19:25:29",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\b7147fc1ac53ceb29535bd66d0bbbd79.jpg","1706","1279","192220","2026/5/12 19:21:43",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\msg\video\2026-05\0e6de2320623a8fe2ff4f2ad80f63c68.jpg","1280","720","70062","2026/5/12 19:21:40",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\2d7463eccdf2168fb3cf57fdb97b64b7.jpg","4096","3072","3018060","2026/5/12 19:21:13",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\afd85261416c8c03b423c757a16e90ca\c7bb63b21c611caebeb69f3c4b095a24.jpg","1280","1707","229657","2026/5/12 12:34:25",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\752adc7a09b96048acc284d348b09950.jpg","1308","845","278242","2026/5/12 12:28:32",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\0ab7ef5eb9b080f50ca4ba61080b84c8.jpg","1920","911","214514","2026/5/12 12:25:48",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\eef077f336332e03a858b168c86bdc41.jpg","1204","630","120224","2026/5/12 11:21:49",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\1eeb7de7f792d7f3bf228b9b1a4eb8d6.jpg","1179","664","114846","2026/5/12 11:20:42",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\2cb127371472ddbaa4ed756121c11462.jpg","1235","607","180852","2026/5/12 11:20:37",".jpg"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\msg\video\2026-05\82aa52f7dcca569166378327fd83d9e0.jpg","1280","592","62110","2026/5/6 19:50:30",".jpg"
