"Path","Width","Height","Length","LastWriteTime"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\f1cd815b9f2267013d4ef4fb30f4e6c5.jpg","1920","911","130238","2026/5/12 20:09:36"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200936_121.png","1920","911","163596","2026/5/12 20:09:36"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\2ca6956790a033b3bd9f8a8b612cd06e.jpg","1920","911","143477","2026/5/12 20:09:28"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200928_380.png","1920","911","210264","2026/5/12 20:09:28"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\21cfea50879e5ada3df3be9cbe387106.jpg","1920","911","155332","2026/5/12 20:09:22"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200922_892.png","1920","911","305847","2026/5/12 20:09:22"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\58020fdb123e6b1b3ab82a5d6f963c2f.jpg","1920","911","155402","2026/5/12 20:09:12"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200912_212.png","1920","911","322064","2026/5/12 20:09:12"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\43778b315bfdef31c065d3f62fd514f8.jpg","1920","911","162050","2026/5/12 20:08:59"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200859_492.png","1920","911","331359","2026/5/12 20:08:59"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\2c74c732f01e1f52bd76ee87668291fa.jpg","1920","911","192778","2026/5/12 20:08:46"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200846_051.png","1920","911","249078","2026/5/12 20:08:46"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\3554a0fbeb66435a25b9d71791c074d5.jpg","1920","911","191925","2026/5/12 20:08:35"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200835_267.png","1920","911","242296","2026/5/12 20:08:35"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\466517e9dd47b5a205418325e8890e63.jpg","1920","911","201220","2026/5/12 20:08:20"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200820_724.png","1920","911","252129","2026/5/12 20:08:20"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\d2c36dedce59d555d505e63b7781a687.jpg","3812","999","386956","2026/5/12 20:07:40"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_200740_215.png","3812","999","508750","2026/5/12 20:07:40"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\dcca521bded865dffcb12a1848ccde9d.jpg","4096","3072","3292528","2026/5/12 19:25:29"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778585099642","1600","1199","366029","2026/5/12 19:25:00"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778585093853","1600","1199","429670","2026/5/12 19:24:53"
